index,o_0,o_1
0,-1831.900030374527,-1420.561351776123
1,-1902.9999822378159,-1402.9695796966553
2,-1914.5999997854233,-1391.3412761688232
3,-1954.1999846696854,-1377.954969406128
4,-1983.7999939918518,-1362.3637390136719
5,-2025.4999995231628,-1346.9050884246826
6,-2118.5000091791153,-1334.6235466003418
7,-2187.6999586820602,-1318.0392169952393
8,-2249.9000132083893,-1303.5023403167725
9,-2316.400036215782,-1288.1114864349365
10,-2428.3000081777573,-1273.8596630096436
11,-2512.6000195741653,-1260.8625030517578
12,-2630.2000284194946,-1244.7546005249023
13,-2742.5999641418457,-1228.8981342315674
14,-2888.700008392334,-1212.2440338134766
15,-3038.399964570999,-1195.5370903015137
16,-3248.5000491142273,-1184.676218032837
17,-3524.0999460220337,-1166.7844772338867
18,-3836.0000550746918,-1153.4524154663086
19,-4199.5000541210175,-1136.0678482055664
20,-4499.199956655502,-1120.177230834961
21,-5048.600047826767,-1100.6645679473877
22,-5627.900123596191,-1086.831636428833
23,-6133.20004940033,-1069.472894668579
24,-6988.500118255615,-1052.6629638671875
25,-8026.49998664856,-1032.277431488037
26,-9171.099483966827,-1013.681640625
27,-10630.200266838074,-996.6430854797362
28,-12112.499475479126,-976.1529254913331
29,-13996.699810028076,-953.7952232360841
30,-16251.799941062927,-932.6939582824707
31,-18744.099855422974,-909.6485996246338
32,-21700.299978256226,-888.0209827423096
33,-25056.299686431885,-864.3581485748291
34,-28570.40023803711,-840.8443260192872
35,-32658.798933029175,-815.3944396972656
36,-36407.19985961914,-791.7823123931885
37,-40805.39917945862,-769.3605613708496
38,-44848.9990234375,-745.3038692474365
39,-49422.70040512085,-723.9722728729248
40,-53116.29915237427,-699.8195362091064
41,-57770.999908447266,-678.3916807174683
42,-61860.30054092407,-658.7164974212646
43,-65932.09838867188,-638.8658618927002
44,-69518.20135116577,-620.3161144256592
45,-73416.90063476562,-603.9569759368896
46,-76648.29921722412,-586.7579174041748
47,-79919.00110244751,-571.8576574325562
48,-83297.70088195801,-556.776704788208
49,-86357.99884796143,-543.5151958465576
50,-88676.70059204102,-529.2823076248169
51,-91477.79750823975,-516.9061517715454
52,-94205.8973312378,-504.8351287841797
53,-96889.60266113281,-493.9699506759643
54,-99107.09857940674,-482.24152565002447
55,-101384.00077819824,-471.6778659820557
56,-103408.10012817383,-460.90376377105713
57,-105704.20360565186,-451.34338378906256
58,-107772.1004486084,-441.5605211257935
59,-109816.0982131958,-431.93861961364746
60,-111482.5029373169,-422.1195840835572
61,-113266.79992675781,-413.34175109863287
62,-115146.6007232666,-404.23685550689703
63,-116341.79782867432,-394.6164655685425
64,-118227.80132293701,-386.09007120132446
65,-119675.90427398682,-376.47459983825684
66,-121146.09909057617,-367.6400637626648
67,-123061.00177764893,-359.2452907562256
68,-124218.39618682861,-350.04995822906494
69,-125192.00229644775,-340.9488558769226
70,-126548.10333251953,-331.81588888168335
71,-128214.99824523926,-322.9914712905884
72,-129304.4023513794,-313.77084255218506
73,-130259.50336456299,-304.3435525894165
74,-131780.69972991943,-295.02662420272827
75,-132595.39413452148,-285.69841861724854
76,-134041.19873046875,-276.6356897354126
77,-135235.89611053467,-267.20624923706055
78,-136144.10209655762,-257.5057649612427
79,-137291.49627685547,-247.66069650650024
80,-138443.89724731445,-238.2284092903137
81,-139680.59825897217,-228.485791683197
82,-140428.99990081787,-218.43924999237058
83,-141149.19662475586,-208.29108476638797
84,-142198.29750061035,-198.30113291740417
85,-142845.89958190918,-187.85302639007568
86,-143623.59809875488,-177.56582617759705
87,-144704.59651947021,-167.14389324188232
88,-145590.00205993652,-156.77032232284546
89,-146282.99617767334,-146.05702877044678
90,-147438.00258636475,-135.39057731628418
91,-148151.80015563965,-124.69497442245483
92,-148851.19533538818,-113.74699234962465
93,-149990.6005859375,-102.76771545410158
94,-150550.10318756104,-91.60566627979279
95,-150868.30043792725,-80.2948409318924
96,-151485.595703125,-68.95532727241516
97,-152558.40492248535,-57.7178418636322
98,-153187.80040740967,-46.17721885442734
